Site Lat Lon
1 37.773577528863036 -122.45605793053564
2 37.737653097951736 -122.48194686874827
3 37.72062621397361 -122.40103975288378
4 37.719288023488716 -122.4274697710692
5 37.78255696209173 -122.41091783027966
6 37.71918700039608 -122.45390863593755
7 37.73149615195977 -122.46435686010686
8 37.74083371289089 -122.44229015346436
9 37.742926647331196 -122.44236511496062
10 37.72585105010791 -122.43752167575443
11 37.75138858220659 -122.41641525026753
12 37.71233821672876 -122.40687245469154
13 37.7665545395092 -122.40170888682164
14 37.712266083168494 -122.48823453830019
15 37.783298069665754 -122.47929098788023
16 37.76983191988323 -122.41684163724189
17 37.799166673072456 -122.4473841431795
18 37.759821612222694 -122.4110084546696
19 37.74773320165606 -122.45731437858663
20 37.753844871281345 -122.38061784155828
21 37.76553357535275 -122.50620224715283
22 37.73494173810493 -122.44486919646081
23 37.75524678833384 -122.468539576679
24 37.72872439244713 -122.47039841307203
25 37.72293390478458 -122.45338733912432
26 37.709530568902395 -122.43300335119807
27 37.71726001959342 -122.45462402712702
28 37.73428124685563 -122.45612430083536
29 37.729724620300786 -122.39959276085057
30 37.770966385844076 -122.46451244510921
31 37.71567609431608 -122.41840122750622
32 37.72391776536847 -122.49618698464053
33 37.77306982063898 -122.50585791213955
34 37.765990420584146 -122.40124601280316
35 37.730626929926785 -122.47336397101307
36 37.75320110473553 -122.45723721918223
37 37.803091869944694 -122.45310994249486
38 37.720255111361325 -122.45853540620996
39 37.79475759416822 -122.46941409076008
40 37.735653756152324 -122.49616548725419
41 37.771661758402196 -122.48340430989754
42 37.7696607384634 -122.4258471564115
43 37.74064673248493 -122.38190045435893
44 37.73179367764066 -122.39914337936078
45 37.72318637215578 -122.39152984917212
46 37.7119625920303 -122.40892594168551
47 37.72306376339953 -122.47178749856411
48 37.78233278510779 -122.50862790041207
49 37.75275925042263 -122.40162364220154
50 37.739026273368175 -122.39298601913013
51 37.784910307094144 -122.44495179535471
52 37.78954341431849 -122.42240607975562
53 37.7662269217751 -122.4914041433465
54 37.71458624430704 -122.45358376556057
55 37.7112141668805 -122.4948982735579
56 37.75847349534053 -122.50476520142301
57 37.78474505121841 -122.4421146103127
58 37.76345603278729 -122.49046572078507
59 37.77944564265874 -122.4304945083576
60 37.72487663576487 -122.50348574379642
61 37.7737510354833 -122.4287166326509
62 37.780792312539 -122.44428259487873
63 37.751721345225015 -122.45106867535802
64 37.805249997180056 -122.40574562448113
65 37.8000683420579 -122.40329407360746
66 37.784836454002615 -122.47498410375378
67 37.725685755831364 -122.48835666212135
68 37.71445386553264 -122.38032149050436
69 37.79063250790851 -122.44167389640198
70 37.79095964207931 -122.4605750745145
71 37.756346842731624 -122.49930356173418
72 37.738580987883196 -122.49335537535121
73 37.71031040006196 -122.38930724162559
74 37.76744101448154 -122.49649324352498
75 37.75266886411324 -122.48918055056382
76 37.78241092651459 -122.458594335613
77 37.753498506346595 -122.44772265642555
78 37.74920068280373 -122.4815640727628
79 37.77938527907438 -122.47667483487794
80 37.71208486029668 -122.3883901978446
81 37.76389686741608 -122.46973879281802
82 37.7665183486048 -122.44416479995438
83 37.7657157877646 -122.42476701347134
84 37.772027081699065 -122.50953197909465
85 37.7427489169821 -122.43942679360491
86 37.72334914293138 -122.47697382193495
87 37.76994523813327 -122.45980771545919
88 37.72684724539637 -122.45699434408895
89 37.71178486828554 -122.4290949035492
90 37.74298039090223 -122.38839543584646
91 37.729238582623545 -122.37963198374653
92 37.7717071046891 -122.39416842100812
93 37.77457720046518 -122.50269495645745
94 37.78065689644735 -122.46673549070265
95 37.74148802438 -122.3889546275822
96 37.72555366290902 -122.41569912554264
97 37.722623085058814 -122.41627696682725
