Site Lat Lon
1 37.71765867103809 -122.49509873217745
2 37.7370238568922 -122.49978140470975
3 37.750155470055816 -122.38338504500291
4 37.76718097177567 -122.43389663053269
5 37.70986438371329 -122.45084243400062
6 37.75608360448858 -122.49428284414279
7 37.776317454199685 -122.45812352432183
8 37.75026593718589 -122.49720361994584
9 37.80564661987812 -122.43845145646547
10 37.786598707709175 -122.41500910821468
11 37.72841648623657 -122.47375333187091
12 37.762569128661085 -122.44580390880488
13 37.71908626391164 -122.45656573096066
14 37.726677033543986 -122.39446575523046
15 37.73436394490737 -122.48438534222804
16 37.79983581587311 -122.43248487989516
17 37.772860091897 -122.42523914388674
18 37.71957669479706 -122.4482739061087
19 37.725229313438916 -122.4846986663425
20 37.736847770455704 -122.46535295545144
21 37.7305388954813 -122.40678912758482
22 37.755683044428054 -122.43554578340367
23 37.79997161155864 -122.45414150024833
24 37.80468013102417 -122.42718193637124
25 37.77041979637127 -122.4327237126815
26 37.73770825497834 -122.45520950148531
27 37.72947184385744 -122.49172174691687
28 37.72449341633941 -122.47861796648439
29 37.73679418207871 -122.43911584519986
30 37.744662888073215 -122.50018526656513
31 37.71753592764658 -122.42704169150711
32 37.74117784184869 -122.47157887403353
33 37.76930015586041 -122.44792433411402
34 37.76650112774218 -122.38694176086932
35 37.725300331487624 -122.42903612178331
36 37.7446237896216 -122.38872717396411
37 37.71349157311186 -122.40848430711088
38 37.7158072057334 -122.40329256110594
39 37.7400177866673 -122.41968457567965
40 37.72840093837525 -122.43709594976666
41 37.731800351296826 -122.37460421128235
42 37.77968221381902 -122.51321253013529
43 37.715080824123255 -122.44117758674125
44 37.769624217543466 -122.50934030884521
45 37.74154531007165 -122.50162071011918
46 37.75411122426798 -122.45659611871973
47 37.7768497967524 -122.46414623725721
48 37.71706765702873 -122.38804362421376
49 37.741706379464446 -122.44637987635458
50 37.76839358809036 -122.40760914262012
51 37.78751716372611 -122.40572378631477
52 37.78063939941154 -122.50282493252061
53 37.76408586258849 -122.41667678817927
54 37.72943850237448 -122.42558693826763
55 37.708823159201565 -122.40795773289031
56 37.740888351129264 -122.4179405475713
57 37.731569423959016 -122.47332315225086
58 37.77779642783412 -122.48899831206913
59 37.72154007833466 -122.43490405583543
60 37.76837504142074 -122.4599736266485
61 37.75029507252462 -122.41325528168052
62 37.785912325128685 -122.43629470178219
63 37.73727508737323 -122.4341185543926
64 37.711945834905926 -122.39060292168439
65 37.71586613333421 -122.3865385962686
66 37.79323247320776 -122.48253086861065
67 37.7340894025787 -122.43979612070952
68 37.73467888227026 -122.4252972172206
69 37.72491510399985 -122.44584717731055
70 37.79676981501381 -122.40632535388629
71 37.72231126287818 -122.47982399768694
